Scientific Name,Habitat
Pantodon buchholzi,Swamp
Marosatherina ladigesi,Streams
Marosatherina ladigesi,Brackish
Bedotia madagascarensis,Streams
Bedotia madagascarensis,Canals
Bedotia madagascarensis,Lakes
Bedotia madagascarensis,Rivers
Melanotaenia praecox,Streams
Melanotaenia praecox,Swamp
Pseudomugil furcatus,Streams
Melanotaenia maccullochi,Streams
Melanotaenia maccullochi,Ponds
Melanotaenia herbertaxelrodi,Lakes
Melanotaenia herbertaxelrodi,Streams
Melanotaenia boesemani,Streams
Melanotaenia boesemani,Lakes
Chilatherina bleheri,Streams
Chilatherina bleheri,Lakes
Melanotaenia trifasciata,Swamp
Melanotaenia trifasciata,Lakes
Melanotaenia trifasciata,Rivers
Melanotaenia lacustris,Lakes
Melanotaenia splendida rubrostriata,Streams
Melanotaenia splendida rubrostriata,Swamp
Pseudomugil gertrudae,Streams
Pseudomugil gertrudae,Lakes
Pseudomugil gertrudae,Swamp
Melanoteania papuensis,Swamp
Melanoteania papuensis,Pools
Melanoteania papuensis,Streams
Melanotaenia parkinsoni,Streams
Melanotaenia parkinsoni,Pools
Melanotaenia australis,Swamp
Melanotaenia australis,Lakes
Melanotaenia australis,Rivers
Melanotaenia australis,Streams
Pseudomugil signifer,Streams
Pseudomugil signifer,Swamp
Pseudomugil signifer,Brackish
Anomalochromis thomasi,Streams
Anomalochromis thomasi,Rivers
Pelvicachromis pulcher,Streams
Pelvicachromis pulcher,Brackish
Steatocranus tinanti,Rivers
Chromidotilapia guntheri,Streams
Chromidotilapia guntheri,Flooded Areas
Pelvicachromis taeniatus,Streams
Pelvicachromis taeniatus,Rivers
Nanochromis transverstitus,Lakes
Nanochromis nudiceps,Rivers
Nanochromis nudiceps,Streams
Nanochromis parilus,Streams
Pelvicachromis subocellatus,Streams
Pelvicachromis subocellatus,Pools
Pelvicachromis subocellatus,Brackish
Hyphessobrycon amandae,Streams
Hyphessobrycon amandae,Pools
Hyphessobrycon amandae,Lakes
Pristella maxillaris riddlei,Streams
Pristella maxillaris riddlei,Flooded Areas
Axelrodia riesei,Rivers
Axelrodia riesei,Streams
Gymnocorymbus ternetzi,Streams
Moenkhausia columbiana,Lakes
Hemigrammus ocellifer,Rivers
Hemigrammus ocellifer,Streams
Hemigrammus ocellifer,Lakes
Hemigrammus ocellifer,Flooded Areas
Hemigrammus rhodostomus,Streams
Hemigrammus rhodostomus,Rivers
Nannostomus beckfordi,Rivers
Nannostomus beckfordi,Streams
Nannostomus beckfordi,Swamp
Moenkhausia sanctaefilomenae,Rivers
Moenkhausia sanctaefilomenae,Streams
Aphyocharax anisitsi,Rivers
Aphyocharax anisitsi,Streams
Hyphessobrycon flammeus,Rivers
Hyphessobrycon flammeus,Streams
Paracheirodon innesi,Streams
Paracheirodon innesi,Rivers
Thayeria boehlkei,Streams
Thayeria boehlkei,Flooded Areas
Thayeria boehlkei,Swamp
Inpaichthys kerri,Rivers
Inpaichthys kerri,Streams
Hyphessobrycon herbertaxelrodi,Rivers
Hyphessobrycon herbertaxelrodi,Streams
Hyphessobrycon herbertaxelrodi,Swamp
Hyphessobrycon herbertaxelrodi,Flooded Areas
Hemigrammus hyanuary,Rivers
Hemigrammus hyanuary,Streams
Hemigrammus hyanuary,Flooded Areas
Hemigrammus caudovittatus,Rivers
Hemigrammus caudovittatus,Streams
Hemigrammus caudovittatus,Lakes
Hemigrammus caudovittatus,Flooded Areas
Hyphessobrycon callistus,Flooded Areas
Hyphessobrycon callistus,Lakes
Hyphessobrycon callistus,Streams
Hyphessobrycon callistus,Rivers
Hemigrammus erythrozonus,Rivers
Hemigrammus erythrozonus,Streams
Hyphessobrycon ecuadoriensis,Streams
Hyphessobrycon ecuadoriensis,Rivers
Hyphessobrycon ecuadoriensis,Lakes
Hyphessobrycon pulchripinnis,Rivers
Hyphessobrycon pulchripinnis,Streams
Hyphessobrycon pulchripinnis,Flooded Areas
Hyphessobrycon bentosi ornatus,Rivers
Hyphessobrycon bentosi ornatus,Streams
Hyphessobrycon bentosi ornatus,Lakes
Megalamphodus megalopterus,Rivers
Megalamphodus megalopterus,Streams
Megalamphodus megalopterus,Ponds
Megalamphodus megalopterus,Lakes
Prionobrama filigera,Streams
Prionobrama filigera,Rivers
Megalamphodus sweglesi,Rivers
Megalamphodus sweglesi,Streams
Megalamphodus sweglesi,Flooded Areas
Hasemania nana,Rivers
Hasemania nana,Streams
Nematobrycon palmeri,Rivers
Nematobrycon palmeri,Streams
Paracheirodon axelrodi,Streams
Moenkhausia pittieri,Lakes
Hyphessobrycon eques,Flooded Areas
Hyphessobrycon eques,Lakes
Hyphessobrycon eques,Streams
Hyphessobrycon eques,Rivers
Hyphessobrycon bentosi,Rivers
Hyphessobrycon bentosi,Streams
Hyphessobrycon bentosi,Lakes
Phenacogrammus interruptus,Rivers
Phenacogrammus interruptus,Streams
Boehlkea fredcochui,Rivers
Boehlkea fredcochui,Streams
Hemigrammus rodwayi,Rivers
Hemigrammus rodwayi,Streams
Hemigrammus rodwayi,Flooded Areas
Hyphessobrycon elachys,Rivers
Hyphessobrycon elachys,Streams
Hyphessobrycon elachys,Flooded Areas
Hyphessobrycon elachys,Swamp
Aphyocharax rathbuni,Streams
Aphyocharax rathbuni,Rivers
Nannostomus marginatus,Rivers
Nannostomus marginatus,Streams
Nannostomus marginatus,Swamp
Nannostomus marginatus,Flooded Areas
Phenacogrammus aurantiacus,Rivers
Phenacogrammus aurantiacus,Streams
Paracheirodon simulans,Streams
Paracheirodon simulans,Rivers
Hyphessobrycon amapaensis,Streams
Hyphessobrycon loretoensis,Rivers
Hyphessobrycon loretoensis,Streams
Hyphessobrycon loretoensis,Flooded Areas
Chilodus punctatus,Rivers
Chilodus punctatus,Streams
Chilodus punctatus,Flooded Areas
Cheirodon axelrodi,Streams
Carnegiella marthae,Rivers
Carnegiella marthae,Streams
Carnegiella marthae,Flooded Areas
Carnegiella strigata,Rivers
Carnegiella strigata,Streams
Carnegiella strigata,Flooded Areas
Hyphessobrycon roberti,Rivers
Hyphessobrycon roberti,Streams
Hyphessobrycon roberti,Lakes
