Scientific Name,Compatibility Tag
Aphyocharax anisitsi,Medium-Sized Fish
Aphyocharax anisitsi,Active Fish
Aphyocharax anisitsi,Robust Fish
Hyphessobrycon flammeus,Small Fish
Hyphessobrycon flammeus,Peaceful Fish
Hyphessobrycon flammeus,Medium-Sized Fish
Paracheirodon innesi,Small Fish
Paracheirodon innesi,Peaceful Fish
Paracheirodon innesi,Medium-Sized Fish
Thayeria boehlkei,Small Fish
Thayeria boehlkei,Peaceful Fish
Thayeria boehlkei,Medium-Sized Fish
Inpaichthys kerri,Small Fish
Inpaichthys kerri,Peaceful Fish
Inpaichthys kerri,Medium-Sized Fish
Hyphessobrycon herbertaxelrodi,Small Fish
Hyphessobrycon herbertaxelrodi,Peaceful Fish
Hyphessobrycon herbertaxelrodi,Medium-Sized Fish
Hemigrammus hyanuary,Small Fish
Hemigrammus hyanuary,Peaceful Fish
Hemigrammus hyanuary,Medium-Sized Fish
Hemigrammus caudovittatus,Small Fish
Hemigrammus caudovittatus,Medium-Sized Fish
Hemigrammus caudovittatus,Active Fish
Hemigrammus caudovittatus,Robust Fish
Hyphessobrycon callistus,Small Fish
Hyphessobrycon callistus,Medium-Sized Fish
Hyphessobrycon callistus,Robust Fish
Hyphessobrycon callistus,Active Fish
Hemigrammus erythrozonus,Small Fish
Hemigrammus erythrozonus,Medium-Sized Fish
Hemigrammus erythrozonus,Peaceful Fish
Hyphessobrycon ecuadoriensis,Small Fish
Hyphessobrycon ecuadoriensis,Medium-Sized Fish
Hyphessobrycon ecuadoriensis,Peaceful Fish
Hyphessobrycon pulchripinnis,Small Fish
Hyphessobrycon pulchripinnis,Medium-Sized Fish
Hyphessobrycon pulchripinnis,Peaceful Fish
Hyphessobrycon bentosi ornatus,Small Fish
Hyphessobrycon bentosi ornatus,Medium-Sized Fish
Hyphessobrycon bentosi ornatus,Peaceful Fish
Megalamphodus megalopterus,Small Fish
Megalamphodus megalopterus,Peaceful Fish
Megalamphodus megalopterus,Medium-Sized Fish
Prionobrama filigera,Small Fish
Prionobrama filigera,Peaceful Fish
Prionobrama filigera,Medium-Sized Fish
Megalamphodus sweglesi,Small Fish
Megalamphodus sweglesi,Peaceful Fish
Megalamphodus sweglesi,Medium-Sized Fish
Hasemania nana,Small Fish
Hasemania nana,Peaceful Fish
Hasemania nana,Medium-Sized Fish
Nematobrycon palmeri,Small Fish
Nematobrycon palmeri,Peaceful Fish
Nematobrycon palmeri,Medium-Sized Fish
Paracheirodon axelrodi,Small Fish
Paracheirodon axelrodi,Peaceful Fish
Paracheirodon axelrodi,Medium-Sized Fish
Moenkhausia pittieri,Small Fish
Moenkhausia pittieri,Peaceful Fish
Moenkhausia pittieri,Medium-Sized Fish
Moenkhausia pittieri,Medium-Large Fish
Hyphessobrycon eques,Small Fish
Hyphessobrycon eques,Medium-Sized Fish
Hyphessobrycon eques,Robust Fish
Hyphessobrycon eques,Active Fish
Hyphessobrycon bentosi,Small Fish
Hyphessobrycon bentosi,Medium-Sized Fish
Hyphessobrycon bentosi,Peaceful Fish
Phenacogrammus interruptus,Small Fish
Phenacogrammus interruptus,Peaceful Fish
Phenacogrammus interruptus,Medium-Sized Fish
Phenacogrammus interruptus,Active Fish
Boehlkea fredcochui,Small Fish
Boehlkea fredcochui,Medium-Sized Fish
Boehlkea fredcochui,Robust Fish
Hemigrammus rodwayi,Small Fish
Hemigrammus rodwayi,Peaceful Fish
Hemigrammus rodwayi,Medium-Sized Fish
Hyphessobrycon elachys,Small Fish
Hyphessobrycon elachys,Peaceful Fish
Aphyocharax rathbuni,Small Fish
Aphyocharax rathbuni,Medium-Sized Fish
Aphyocharax rathbuni,Active Fish
Aphyocharax rathbuni,Robust Fish
Nannostomus marginatus,Small Fish
Nannostomus marginatus,Peaceful Fish
Nannostomus marginatus,Very Small Fish
